Date,Description,Author,Category (Web / Admin Panel)
2026-02-13,feat: configure nginx api proxy and update deployment workflow,MiniduJ,Web & Admin Panel
2026-02-13,feat: Introduce Gemini AI chat functionality with Gemini API integration and backend configuration.,MiniduJ,Admin Panel
2026-02-13,"feat: Implement fullstack CI/CD deployment, centralize API endpoints, and add global search functionality with new UI components.",MiniduJ,Web & Admin Panel
2026-02-13,fix: resolve frontend api prefixes and remove hardcoded urls,MiniduJ,Web
2026-02-13,"chore: production readiness hardening - security improvements, frontend lint fixes, and optimized configurations",MiniduJ,Web & Admin Panel
2026-02-13,fix: allow test.ocean.lk in CORS and finalize api paths,MiniduJ,Web
2026-02-13,fix: add test.ocean.lk to CORS allowed origins,MiniduJ,Admin Panel
2026-02-13,"feat: Implement core security configuration, authentication endpoints, and global exception handling.",MiniduJ,Admin Panel
2026-02-13,"feat: Add talent pool application, contact page, admin login, and foundational backend/frontend structure with Oracle Cloud deployment documentation.",MiniduJ,Web & Admin Panel
2026-02-16,"refactor: overhaul deploy workflow with separate build steps, health checks, and verification",MiniduJ,Admin Panel
2026-02-16,update: EmailService and application properties,MiniduJ,Admin Panel
2026-02-16,fix(security): allow actuator endpoints for health checks,MiniduJ,Admin Panel
2026-02-16,fix(deploy): force SERVER_PORT=8080 to match docker internal mapping,MiniduJ,Admin Panel
2026-02-16,fix(deploy): use wget for health check (alpine image compatibility),MiniduJ,Admin Panel
2026-02-16,"fix(email): enable email default, fix smtp ssl trust, add debug logs",MiniduJ,Admin Panel
2026-02-16,"Audit and Enhance Leadership & Approval workflows, and implement Admin Profile preferences",MiniduJ,Web & Admin Panel
2026-02-16,"Security Hardening: Prevent sensitive data exposure, protect keys, and mitigate user enumeration",MiniduJ,Web & Admin Panel
2026-02-16,feat(security): allow public access to leadership and content endpoints for audit fix,MiniduJ,Admin Panel
2026-02-16,security: remove seeded admin and superadmin credentials,MiniduJ,Web & Admin Panel
2026-02-16,Fix media gallery connectivity and consolidate media management view,MiniduJ,Web & Admin Panel
2026-02-17,Hide second section of culture page and update server data seeding,MiniduJ,Web & Admin Panel
2026-02-23,feat: add Bcrypt utilities and server user creation script,MiniduJ,Web & Admin Panel
2026-02-25,"feat: Introduce event listing with idea submission, single event views, and initial admin management for events and HR media.",Minidu,Web & Admin Panel
2026-02-25,"feat: Implement initial backend and frontend services with Spring Boot, security, rate limiting, and Docker Compose orchestration.",Minidu,Web & Admin Panel
2026-02-26,"chore: clean up debug/dev files, update tests and rate limit filter",Minidu,Admin Panel
2026-02-26,fix(backend): enhance AuthController security logging and remove OtpController hardcoded CORS,Minidu,Admin Panel
2026-03-16,Update ContactControllerTest.java,Minidu,Admin Panel
2026-03-23,"feat: implement Memberships component with API data fetching, internationalization, and an animated carousel display.",Minidu,Web
2026-03-24,"refactor: enable admin user seeding, remove unused Redis service from Docker Compose",Minidu,Web & Admin Panel
2026-05-20,feat: scaffold backend domain models and repositories and add Supabase Postgres best practices documentation skills,Minidu,Web & Admin Panel
2026-05-20,chore: migrate CI/CD to Vercel and simplify backend workflow,Minidu,Web & Admin Panel
2026-05-20,Merge development branch into main (resolve structure conflicts in favor of monorepo),Minidu,Web
2026-05-21,feat: add HoldingDescription component with animated metrics and partner carousel,Minidu,Web & Admin Panel
2026-05-21,feat: add vercel.json configuration for frontend deployment settings,Minidu,Web
2026-05-21,fix: add root vercel.json with rootDirectory and devDependency install,Minidu,Web
2026-05-21,"chore: fix Vercel deployment, align configs, and remove dead files",Minidu,Web & Admin Panel
2026-05-21,Merge branch 'main' into development,SD-OMC,Web
2026-05-21,Merge pull request #8 from IT-OMC/development,SD-OMC,Web
2026-05-21,chore: separate frontend (Vercel) and backend (Railway) deployments,Minidu,Web & Admin Panel
